id,LOAN__ACCRUE_INTEREST_FROM__C,LOAN__CHARGE_TYPE__C,LOAN__DATE__C,LOAN__FEE__C,LOAN__INTEREST_BEARING__C,LOAN__INTEREST_RATE__C,LOAN__LOAN_ACCOUNT__C,LOAN__ORIGINAL_AMOUNT__C,LOAN__PAID_AMOUNT__C,LOAN__WAIVE__C,LOAN__PAID__C,LOAN__CALCULATED_INTEREST3__C,LOAN__LAST_ACCRUAL_DATE__C,LOAN__INTEREST_DUE__C,LOAN__PRINCIPAL_DUE__C
bulk_c1,,Other,2013-01-04,f5,FALSE,,bulk_l1,100,0,FALSE,FALSE,0,,0,100
bulk_c2,,Other,2013-01-04,f5,FALSE,,bulk_l2,100,0,FALSE,FALSE,0,,0,100
bulk_c3,,Other,2013-01-04,f5,FALSE,,bulk_l3,100,0,FALSE,FALSE,0,,0,100
bulk_c4,,Other,2013-01-04,f5,FALSE,,bulk_l4,100,0,FALSE,FALSE,0,,0,100
bulk_c5,,Other,2013-01-04,f5,FALSE,,bulk_l5,100,0,FALSE,FALSE,0,,0,100
bulk_c6,,Other,2013-01-04,f5,FALSE,,bulk_l6,100,0,FALSE,FALSE,0,,0,100
bulk_c7,,Other,2013-01-04,f5,FALSE,,bulk_l7,100,0,FALSE,FALSE,0,,0,100
bulk_c8,,Other,2013-01-04,f5,FALSE,,bulk_l8,100,0,FALSE,FALSE,0,,0,100
bulk_c9,,Other,2013-01-04,f5,FALSE,,bulk_l9,100,0,FALSE,FALSE,0,,0,100
bulk_c10,,Other,2013-01-04,f5,FALSE,,bulk_l10,100,0,FALSE,FALSE,0,,0,100
bulk_c11,,Other,2013-01-04,f5,FALSE,,bulk_l11,100,0,FALSE,FALSE,0,,0,100
bulk_c12,,Other,2013-01-04,f5,FALSE,,bulk_l12,100,0,FALSE,FALSE,0,,0,100
bulk_c13,,Other,2013-01-04,f5,FALSE,,bulk_l13,100,0,FALSE,FALSE,0,,0,100
bulk_c14,,Other,2013-01-04,f5,FALSE,,bulk_l14,100,0,FALSE,FALSE,0,,0,100
bulk_c15,,Other,2013-01-04,f5,FALSE,,bulk_l15,100,0,FALSE,FALSE,0,,0,100
bulk_c16,,Other,2013-01-04,f5,FALSE,,bulk_l16,100,0,FALSE,FALSE,0,,0,100
bulk_c17,,Other,2013-01-04,f5,FALSE,,bulk_l17,100,0,FALSE,FALSE,0,,0,100
bulk_c18,,Other,2013-01-04,f5,FALSE,,bulk_l18,100,0,FALSE,FALSE,0,,0,100
bulk_c19,,Other,2013-01-04,f5,FALSE,,bulk_l19,100,0,FALSE,FALSE,0,,0,100
bulk_c20,,Other,2013-01-04,f5,FALSE,,bulk_l20,100,0,FALSE,FALSE,0,,0,100
bulk_c21,,Other,2013-01-04,f5,FALSE,,bulk_l21,100,0,FALSE,FALSE,0,,0,100
bulk_c22,,Other,2013-01-04,f5,FALSE,,bulk_l22,100,0,FALSE,FALSE,0,,0,100
bulk_c23,,Other,2013-01-04,f5,FALSE,,bulk_l23,100,0,FALSE,FALSE,0,,0,100
bulk_c24,,Other,2013-01-04,f5,FALSE,,bulk_l24,100,0,FALSE,FALSE,0,,0,100
bulk_c25,,Other,2013-01-04,f5,FALSE,,bulk_l25,100,0,FALSE,FALSE,0,,0,100
bulk_c26,,Other,2013-01-04,f5,FALSE,,bulk_l26,100,0,FALSE,FALSE,0,,0,100
bulk_c27,,Other,2013-01-04,f5,FALSE,,bulk_l27,100,0,FALSE,FALSE,0,,0,100
bulk_c28,,Other,2013-01-04,f5,FALSE,,bulk_l28,100,0,FALSE,FALSE,0,,0,100
bulk_c29,,Other,2013-01-04,f5,FALSE,,bulk_l29,100,0,FALSE,FALSE,0,,0,100
bulk_c30,,Other,2013-01-04,f5,FALSE,,bulk_l30,100,0,FALSE,FALSE,0,,0,100
bulk_c31,,Other,2013-01-04,f5,FALSE,,bulk_l31,100,0,FALSE,FALSE,0,,0,100
bulk_c32,,Other,2013-01-04,f5,FALSE,,bulk_l32,100,0,FALSE,FALSE,0,,0,100
bulk_c33,,Other,2013-01-04,f5,FALSE,,bulk_l33,100,0,FALSE,FALSE,0,,0,100
bulk_c34,,Other,2013-01-04,f5,FALSE,,bulk_l34,100,0,FALSE,FALSE,0,,0,100
bulk_c35,,Other,2013-01-04,f5,FALSE,,bulk_l35,100,0,FALSE,FALSE,0,,0,100
bulk_c36,,Other,2013-01-04,f5,FALSE,,bulk_l36,100,0,FALSE,FALSE,0,,0,100
bulk_c37,,Other,2013-01-04,f5,FALSE,,bulk_l37,100,0,FALSE,FALSE,0,,0,100
bulk_c38,,Other,2013-01-04,f5,FALSE,,bulk_l38,100,0,FALSE,FALSE,0,,0,100
bulk_c39,,Other,2013-01-04,f5,FALSE,,bulk_l39,100,0,FALSE,FALSE,0,,0,100
bulk_c40,,Other,2013-01-04,f5,FALSE,,bulk_l40,100,0,FALSE,FALSE,0,,0,100
bulk_c41,,Other,2013-01-04,f5,FALSE,,bulk_l41,100,0,FALSE,FALSE,0,,0,100
bulk_c42,,Other,2013-01-04,f5,FALSE,,bulk_l42,100,0,FALSE,FALSE,0,,0,100
bulk_c43,,Other,2013-01-04,f5,FALSE,,bulk_l43,100,0,FALSE,FALSE,0,,0,100
bulk_c44,,Other,2013-01-04,f5,FALSE,,bulk_l44,100,0,FALSE,FALSE,0,,0,100
bulk_c45,,Other,2013-01-04,f5,FALSE,,bulk_l45,100,0,FALSE,FALSE,0,,0,100
bulk_c46,,Other,2013-01-04,f5,FALSE,,bulk_l46,100,0,FALSE,FALSE,0,,0,100
bulk_c47,,Other,2013-01-04,f5,FALSE,,bulk_l47,100,0,FALSE,FALSE,0,,0,100
bulk_c48,,Other,2013-01-04,f5,FALSE,,bulk_l48,100,0,FALSE,FALSE,0,,0,100
bulk_c49,,Other,2013-01-04,f5,FALSE,,bulk_l49,100,0,FALSE,FALSE,0,,0,100
bulk_c50,,Other,2013-01-04,f5,FALSE,,bulk_l50,100,0,FALSE,FALSE,0,,0,100
bulk_c51,,Other,2013-01-04,f5,FALSE,,bulk_l51,100,0,FALSE,FALSE,0,,0,100
bulk_c52,,Other,2013-01-04,f5,FALSE,,bulk_l52,100,0,FALSE,FALSE,0,,0,100
bulk_c53,,Other,2013-01-04,f5,FALSE,,bulk_l53,100,0,FALSE,FALSE,0,,0,100
bulk_c54,,Other,2013-01-04,f5,FALSE,,bulk_l54,100,0,FALSE,FALSE,0,,0,100
bulk_c55,,Other,2013-01-04,f5,FALSE,,bulk_l55,100,0,FALSE,FALSE,0,,0,100
bulk_c56,,Other,2013-01-04,f5,FALSE,,bulk_l56,100,0,FALSE,FALSE,0,,0,100
bulk_c57,,Other,2013-01-04,f5,FALSE,,bulk_l57,100,0,FALSE,FALSE,0,,0,100
bulk_c58,,Other,2013-01-04,f5,FALSE,,bulk_l58,100,0,FALSE,FALSE,0,,0,100
bulk_c59,,Other,2013-01-04,f5,FALSE,,bulk_l59,100,0,FALSE,FALSE,0,,0,100
bulk_c60,,Other,2013-01-04,f5,FALSE,,bulk_l60,100,0,FALSE,FALSE,0,,0,100
bulk_c61,,Other,2013-01-04,f5,FALSE,,bulk_l61,100,0,FALSE,FALSE,0,,0,100
bulk_c62,,Other,2013-01-04,f5,FALSE,,bulk_l62,100,0,FALSE,FALSE,0,,0,100
bulk_c63,,Other,2013-01-04,f5,FALSE,,bulk_l63,100,0,FALSE,FALSE,0,,0,100
bulk_c64,,Other,2013-01-04,f5,FALSE,,bulk_l64,100,0,FALSE,FALSE,0,,0,100
bulk_c65,,Other,2013-01-04,f5,FALSE,,bulk_l65,100,0,FALSE,FALSE,0,,0,100
bulk_c66,,Other,2013-01-04,f5,FALSE,,bulk_l66,100,0,FALSE,FALSE,0,,0,100
bulk_c67,,Other,2013-01-04,f5,FALSE,,bulk_l67,100,0,FALSE,FALSE,0,,0,100
bulk_c68,,Other,2013-01-04,f5,FALSE,,bulk_l68,100,0,FALSE,FALSE,0,,0,100
bulk_c69,,Other,2013-01-04,f5,FALSE,,bulk_l69,100,0,FALSE,FALSE,0,,0,100
bulk_c70,,Other,2013-01-04,f5,FALSE,,bulk_l70,100,0,FALSE,FALSE,0,,0,100
bulk_c71,,Other,2013-01-04,f5,FALSE,,bulk_l71,100,0,FALSE,FALSE,0,,0,100
bulk_c72,,Other,2013-01-04,f5,FALSE,,bulk_l72,100,0,FALSE,FALSE,0,,0,100
bulk_c73,,Other,2013-01-04,f5,FALSE,,bulk_l73,100,0,FALSE,FALSE,0,,0,100
bulk_c74,,Other,2013-01-04,f5,FALSE,,bulk_l74,100,0,FALSE,FALSE,0,,0,100
bulk_c75,,Other,2013-01-04,f5,FALSE,,bulk_l75,100,0,FALSE,FALSE,0,,0,100
bulk_c76,,Other,2013-01-04,f5,FALSE,,bulk_l76,100,0,FALSE,FALSE,0,,0,100
bulk_c77,,Other,2013-01-04,f5,FALSE,,bulk_l77,100,0,FALSE,FALSE,0,,0,100
bulk_c78,,Other,2013-01-04,f5,FALSE,,bulk_l78,100,0,FALSE,FALSE,0,,0,100
bulk_c79,,Other,2013-01-04,f5,FALSE,,bulk_l79,100,0,FALSE,FALSE,0,,0,100
bulk_c80,,Other,2013-01-04,f5,FALSE,,bulk_l80,100,0,FALSE,FALSE,0,,0,100
bulk_c81,,Other,2013-01-04,f5,FALSE,,bulk_l81,100,0,FALSE,FALSE,0,,0,100
bulk_c82,,Other,2013-01-04,f5,FALSE,,bulk_l82,100,0,FALSE,FALSE,0,,0,100
bulk_c83,,Other,2013-01-04,f5,FALSE,,bulk_l83,100,0,FALSE,FALSE,0,,0,100
bulk_c84,,Other,2013-01-04,f5,FALSE,,bulk_l84,100,0,FALSE,FALSE,0,,0,100
bulk_c85,,Other,2013-01-04,f5,FALSE,,bulk_l85,100,0,FALSE,FALSE,0,,0,100
bulk_c86,,Other,2013-01-04,f5,FALSE,,bulk_l86,100,0,FALSE,FALSE,0,,0,100
bulk_c87,,Other,2013-01-04,f5,FALSE,,bulk_l87,100,0,FALSE,FALSE,0,,0,100
bulk_c88,,Other,2013-01-04,f5,FALSE,,bulk_l88,100,0,FALSE,FALSE,0,,0,100
bulk_c89,,Other,2013-01-04,f5,FALSE,,bulk_l89,100,0,FALSE,FALSE,0,,0,100
bulk_c90,,Other,2013-01-04,f5,FALSE,,bulk_l90,100,0,FALSE,FALSE,0,,0,100
bulk_c91,,Other,2013-01-04,f5,FALSE,,bulk_l91,100,0,FALSE,FALSE,0,,0,100
bulk_c92,,Other,2013-01-04,f5,FALSE,,bulk_l92,100,0,FALSE,FALSE,0,,0,100
bulk_c93,,Other,2013-01-04,f5,FALSE,,bulk_l93,100,0,FALSE,FALSE,0,,0,100
bulk_c94,,Other,2013-01-04,f5,FALSE,,bulk_l94,100,0,FALSE,FALSE,0,,0,100
bulk_c95,,Other,2013-01-04,f5,FALSE,,bulk_l95,100,0,FALSE,FALSE,0,,0,100
bulk_c96,,Other,2013-01-04,f5,FALSE,,bulk_l96,100,0,FALSE,FALSE,0,,0,100
bulk_c97,,Other,2013-01-04,f5,FALSE,,bulk_l97,100,0,FALSE,FALSE,0,,0,100
bulk_c98,,Other,2013-01-04,f5,FALSE,,bulk_l98,100,0,FALSE,FALSE,0,,0,100
bulk_c99,,Other,2013-01-04,f5,FALSE,,bulk_l99,100,0,FALSE,FALSE,0,,0,100
bulk_c100,,Other,2013-01-04,f5,FALSE,,bulk_l100,100,0,FALSE,FALSE,0,,0,100
