id,LOAN__LOAN_ACCOUNT__C,LOAN__DUE_AMT__C,LOAN__DUE_DATE__C,LOAN__DUE_TYPE_DESCRIPTION__C,LOAN__DUE_TYPE__C,LOAN__LATE_CHARGE_APPLIED__C,LOAN__PAYMENT_AMT__C,LOAN__PAYMENT_DATE__C,LOAN__PAYMENT_SATISFIED__C,LOAN__DD_PRIMARY_FLAG__C,LOAN__PRINCIPAL_BILLED__C,LOAN__PRINCIPAL_PAID__C,LOAN__TOLERANCE__C,LOAN__TRANSACTION_DATE__C,LOAN__INTEREST_BILLED__C,LOAN__INTEREST_PAID__C
l5_d1,l5,2013.72,2013-01-15,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,30,2013-01-15,,
l6_late_charge_grace_days_d1,l6_late_charge_grace_days,2013.72,2013-01-15,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,20,2013-01-15,,
l6_delinquency_grace_days_d1,l6_delinquency_grace_days,2013.72,2013-01-15,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,20,2013-01-15,,
l6_all_grace_days_d1,l6_all_grace_days,2013.72,2013-01-15,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,20,2013-01-15,,
l6_delinquent_loan_d1,l6_delinquent_loan,2013.72,2013-01-15,BILL / DUE DATE,1,TRUE,0,,FALSE,TRUE,,,20,2013-01-15,,
l6_delinquent_loan2_d1,l6_delinquent_loan2,2013.72,2013-01-15,BILL / DUE DATE,1,TRUE,0,,FALSE,TRUE,,,20,2013-01-15,,
l6_delinquent_loan2_d2,l6_delinquent_loan2,2013.72,2013-01-22,BILL / DUE DATE,1,TRUE,0,,FALSE,TRUE,,,20,2013-01-22,,
l11_multiple_bills_d1,l11_multiple_bills,2050.27,2013-02-04,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,20,2013-05-05,,
l11_multiple_bills_d2,l11_multiple_bills,2050.27,2013-03-04,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,20,2013-05-05,,
l11_multiple_bills_d3,l11_multiple_bills,2050.27,2013-04-04,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,20,2013-05-05,,
l11_multiple_bills_d4,l11_multiple_bills,2050.27,2013-05-04,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,20,2013-05-05,,
l12_for_pmt_reversal_delinquent_d1,l12_for_pmt_reversal_delinquent,2010.97,2013-01-10,BILL / DUE DATE,1,FALSE,2010.97,2013-01-10,TRUE,TRUE,,,20,2013-01-10,,
l13_broker_4_d1,l13_broker_4,2050.36,2013-05-01,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-12,,
l13_broker_5_d1,l13_broker_5,2050.36,2013-05-01,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-12,,
l14_loc_bill1,l15_Loc7,7.56,2012-11-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-11-19,,
l14_loc_bill2,l15_Loc7,22.72,2012-12-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-12-20,,
l14_loc_bill3,l15_Loc7,36.29,2013-01-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-15,,
l14_loc_bill4,l15_Loc8,7.56,2012-11-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-11-19,,
l14_loc_bill5,l15_Loc8,22.72,2012-12-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-12-20,,
l14_loc_bill6,l15_Loc8,36.29,2013-01-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-15,,
l14_loc_bill7,l15_Loc9,6.67,2012-11-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-11-19,,
l14_loc_bill8,l15_Loc9,20.04,2012-12-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-12-20,,
l14_loc_bill9,l15_Loc9,35.66,2013-01-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-15,,
l14_loc_bill10,l15_Loc10,175.39,2012-11-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-11-19,,
l14_loc_bill11,l15_Loc10,176.56,2012-12-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-12-20,,
l14_loc_bill12,l15_Loc10,303.37,2013-01-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-15,,
l14_loc_bill13,l15_Loc11,235,2012-11-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-11-19,,
l14_loc_bill14,l15_Loc11,255.07,2012-12-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2012-12-20,,
l14_loc_bill15,l15_Loc11,338.01,2013-01-15,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-15,,
l14_loc_bill16,l15_Loc12,13.33,2013-03-19,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-05-07,,
l14_loc_bill17,l15_Loc12,40.09,2013-04-19,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-05-07,,
l14_loc_bill18,l15_Loc12,40.36,2013-05-19,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-07-07,,
l14_loc_bill19,l15_Loc12,520.63,2013-06-19,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-07-07,,
l14_loc_bill20,l15_Loc6,178.11,2013-01-07,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-12,,
l14_loc_bill21,l15_Loc4,0.67,2013-01-04,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-12,,
l14_loc_bill22,l15_Loc5,229,2013-01-07,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-01-12,,
l14_loc_bill23,l15_Loc14,12.44,2013-04-17,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-04-17,,
l14_loc_bill24,l15_Loc13,18.67,2013-02-14,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-02-14,,
l14_loc_bill25,l15_Loc13,20.26,2013-03-14,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-03-17,,
l16_Fit_bill1,l16_FIT11,33.33,2013-02-02,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,0,2013-02-03,,
l16_Fit_bill2,l16_FIT8,25,2013-02-02,BILL / DUE DATE,1,FALSE,0,,TRUE,TRUE,,,0,2013-02-03,,
l16_Fit_bill3,l16_FIT12,33.33,2013-02-01,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,0,2013-03-04,,
l16_Fit_bill4,l16_FIT12,418.56,2013-03-01,BILL / DUE DATE,1,FALSE,0,,FALSE,TRUE,,,0,2013-03-04,,
