ID,LOAN__ACCOUNT_TYPE__C,LOAN__APPLICATION_DATE__C,LOAN__APPROVAL_DATE__C,LOAN__BRANCH__C,LOAN__CLIENT__C,LOAN__CLOSED_DATE__C,LOAN__CO_APPLICANT__C,LOAN__COLLATERAL_NOTES__C,LOAN__COLLATERAL_TYPE__C,LOAN__CURRENT_LOAN_OFFICER__C,LOAN__DISBURSAL_DATE__C,LOAN__EXPECTED_DISBURSAL_DATE__C,LOAN__EXPECTED_REPAYMENT_START_DATE__C,LOAN__FEE_ACCRUED__C,LOAN__FEE_SET__C,LOAN__FEES_PAID__C,LOAN__FEES_REMAINING__C,LOAN__FEES_SUSPENDED__C,LOAN__FIRST_INSTALLMENT_DATE__C,LOAN__FREQUENCY_OF_LOAN_PAYMENT__C,LOAN__FUNDER__C,LOAN__GRACE_PERIOD_FOR_REPAYMENTS__C,LOAN__GROUP__C,LOAN__GUARANTOR__C,LOAN__INCOME_SUSPENDED__C,LOAN__INTEREST_ACCRUED_NOT_DUE__C,LOAN__INTEREST_CALCULATION_METHOD__C,LOAN__INTEREST_ON_OVERDUE_PAID__C,LOAN__INTEREST_ON_OVERDUE_SUSPENDED__C,LOAN__INTEREST_ON_TOTAL_OVERDUE__C,LOAN__INTEREST_PAID__C,LOAN__INTEREST_RATE__C,LOAN__INTEREST_REMAINING__C,LOAN__INTEREST_SUSPENDED__C,LOAN__LAST_INSTALLMENT_DATE__C,LOAN__LOANCNT__C,LOAN__LOAN_AMOUNT__C,LOAN__LOAN_CYCLE_COUNT__C,LOAN__LOAN_PRODUCT_NAME__C,LOAN__LOAN_PURPOSE__C,LOAN__LOAN_STATUS__C,LOAN__NEXT_INSTALLMENT_DATE__C,LOAN__NEXT_REPAYMENT_AMOUNT_AS_OF_TODAY__C,LOAN__NUMBER_OF_DAYS_OVERDUE__C,LOAN__NUMBER_OF_INSTALLMENTS__C,LOAN__OVERDUE_AMOUNT_AS_OF_TODAY__C,LOAN__OVERDUE_INTEREST_RATE__C,LOAN__OVERDUE_INTEREST__C,LOAN__OVERDUE_PENALTY__C,LOAN__OVERDUE_PRINCIPAL__C,LOAN__PAY_OFF_AMOUNT_AS_OF_TODAY__C,LOAN__PENALTY_PAID__C,LOAN__PENALTY_REMAINING__C,LOAN__PREVIOUS_INSTALLMENT_DATE__C,LOAN__PRINCIPAL_PAID__C,LOAN__PRINCIPAL_REMAINING__C,LOAN__REPAYMENT_PROCEDURE__C,LOAN__REPAYMENT_TIED_TO_MEETING_SCHEDULE__C,LOAN__SAVINGS_ACCOUNT__C,LOAN__SAVINGS_PRODUCT__C,LOAN__SOURCE_LOAN_OFFICER__C,LOAN__SUSPENDED__C,LOAN__UNCLEARED_DISBURSAL_AMOUNT__C,LOAN__UNCLEARED_REPAYMENT_AMOUNT__C,LOAN__UNCLEARED_WRITTEN_OFF_AMOUNT__C,LOAN__TOTAL_OVERDUE_FEES__C,LOAN__AVERAGE_MONTHLY_INCOME__C,LOAN__IS_RESCHEDULED__C,LOAN__NEW_FIELD_3__C,LOAN__CONTACT__C,LOAN__ACCOUNT__C,LOAN__INTEREST_ONLY_PERIOD__C,LOAN__BALLOON_PAYMENT__C,LOAN__TIME_COUNTING_METHOD__C,LOAN__PAYMENT_AMOUNT__C,LOAN__PAYMENT_TOLERANCE_START_DATE__C,LOAN__PAYMENT_TOLERANCE_END_DATE__C,LOAN__PAYMENT_TOLERANCE_RATE__C,LOAN__RATE_CHANGE_DT_NEXT__C,LOAN__INTEREST_RATE_LAST__C,LOAN__RATE_CHANGE_DT_LAST__C,LOAN__TOTAL_DUE_CHARGES__C,LOAN__ACCRUAL_START_DAYS__C,LOAN__ACCRUAL_START_DATE__C,LOAN__LAST_ACCRUAL_DATE__C,LOAN__DUE_DAY__C,LOAN__OLDEST_DUE_DATE__C,LOAN__INVALID_DATA__C,LOAN__NEXT_DUE_GENERATION_DATE__C,LOAN__PRE_BILL_DAYS__C,LOAN__PMT_AMT_CUR__C,LOAN__RESERVE_AMOUNT_FOR_NEXT_DUE__C,LOAN__DELINQUENT_AMOUNT__C,LOAN__DELINQUENCY_GRACE_DAYS__C,LOAN__MATURITY_DATE_CURRENT__C,LOAN__WRITE_OFF_TOLERANCE_AMOUNT__C,LOAN__EXCESS__C,LOAN__PRINCIPAL_ADJUSTMENT__C,LOAN__ACCRUAL_STOP_INDICATOR__C,LOAN__ACH_ROUTING_NUMBER__C,LOAN__ACH_ACCOUNT_NUMBER__C,LOAN__ACH_ACCOUNT_TYPE__C,LOAN__ACH_BANK_NAME__C,LOAN__ACH_DEBIT_AMOUNT__C,LOAN__ACH_FREQUENCY__C,LOAN__ACH_START_DATE__C,LOAN__ACH_END_DATE__C,LOAN__ACH_NEXT_DEBIT_DATE__C,LOAN__TERM_CUR__C,LOAN__ACH_ON__C,LOAN__ACH_BANK__C,LOAN__PAYOFF_FEE_INDICATOR__C,LOAN__PREPAYMENT_PENALTY_INDICATOR__C,LOAN__EARLY_PRE_PAYMENT_PENALTY_INDICATOR__C,LOAN__LAST_TRANSACTION_TIMESTAMP__C,LOAN__LAST_TRANSACTION_TYPE__C,LOAN__ACH_DEBIT_DAY__C,LOAN__OT_ACH_ACCOUNT_NUMBER__C,LOAN__OT_ACH_ACCOUNT_TYPE__C,LOAN__CHARGED_OFF_PRINCIPAL__C,LOAN__OT_ACH_DEBIT_DATE__C,LOAN__OT_ACH_FEE_AMOUNT__C,LOAN__OT_ACH_PAYMENT_AMOUNT__C,LOAN__OT_ACH_ROUTING_NUMBER__C,LOAN__OT_ACH_DRAWER_ADDRESS1__C,LOAN__OT_ACH_DRAWER_ADDRESS2__C,LOAN__OT_ACH_DRAWER_CITY__C,LOAN__OT_ACH_DRAWER_NAME__C,LOAN__OT_ACH_DRAWER_STATE__C,LOAN__OT_ACH_DRAWER_ZIP__C,LOAN__OT_ACH_RELATIONSHIP_TYPE__C,LOAN__OT_ACH_BANK_NAME__C,LOAN__LA_MATURED_FLAG__C,LOAN__LA_DELINQUENCY_FLAG__C,LOAN__LA_AMORTIZATION_CALCULATION_METHOD__C,LOAN__LA_AMORTIZATION_FREQUENCY__C,LOAN__LA_AMORTIZED_BALANCE_TYPE__C,LOAN__LA_AMORTIZATION_ENABLED__C,LOAN__LA_NEXT_AMORTIZATION_DATE__C,LOAN__INTEREST_ESTIMATED__C,LOAN__CHARGED_OFF_FEES__C,LOAN__CHARGED_OFF_INTEREST__C,LOAN__PREPAYMENT_METHOD__C,LOAN__PREPAYMENT_VALUE__C,LOAN__ORIGIN_SOURCE__C,LOAN__METRO2_ACCOUNT_TYPE_CODE__C,LOAN__METRO2_PORTFOLIO_TYPE__C,LOAN__METRO2_ACCOUNT_STATUS_CODE__C,LOAN__INCLUDE_IN_METRO2_FILE__C,LOAN__METRO2_PAYMENT_RATING__C,LOAN__METRO2_PAYMENT_HISTORY__C,LOAN__PREPAYMENT_PENALTY_PERIODS__C,LOAN__METRO2_SPECIAL_COMMENT__C,LOAN__ACTIVE_INVESTOR__C,LOAN__METRO2_ACCOUNT_HIGHEST_BAL_AMOUNT__C,LOAN__LAST_PAYMENT_DATE__C,LOAN__METRO2_ACCOUNT_PMT_HISTORY_DATE__C,LOAN__METRO2_FIRST_DELINQUENCY_DATE__C,LOAN__LOAN_EFFECTIVE_DATE__C,LOAN__METRO2_COMPLIANCE_CONDITION_CODE__C,LOAN__LAST_PAYMENT_AMOUNT__C,LOAN__PRE_PAID_INTEREST_AMOUNT__C,LOAN__PRE_PAID_INTEREST_PAID_TILL_DATE__C,LOAN__METRO2_CONSUMER_INFORMATION_CODE__C,LOAN__METRO2_CCCD_DATE__C,LOAN__METRO2_CIIC_DATE__C,LOAN__PRINCIPAL_ADJUSTMENT_SUBTRACT__C,LOAN__ACH_DRAWER_NAME__C,LOAN__ACH_RELATIONSHIP_TYPE__C,LOAN__MIGRATION_DATE__C,LOAN__INTEREST_WAIVED__C,LOAN__ACCRUE_PAST_MATURITY__C,LOAN__CONTRACTUAL_DUE_DAY__C,LOAN__CONTRACTUAL_INTEREST_RATE__C,LOAN__CHARGED_OFF_DATE__C,LOAN__FRACTIONALIZATION_STATUS__C,LOAN__APR__C,LOAN__INTEREST_RATE_PAST_MATURITY__C,LOAN__LAST_ADVANCE_DATE__C,LOAN__NEXT_CRB_PAYMENT_PROFILE_DATE__C,LOAN__PRODUCT_TYPE__C,LOAN__PRINCIPAL_POSTED__C,LOAN__INTEREST_POSTED__C,LOAN__REPAYMENT_TERM_PAYMENT_PERCENT__C,LOAN__CREDIT_LIMIT_CURRENT__C,LOAN__MAXIMUM_ADVANCE_AMOUNT__C,LOAN__MINIMUM_ADVANCE_AMOUNT__C,LOAN__MAXIMUM_DRAW_AMOUNT__C,LOAN__MINIMUM_DRAW_AMOUNT__C,LOAN__PERIODIC_FEE__C,loan__Next_Commission_Payment_Date__c,loan__Disbursal_Amount__c,loan__Draw_Billing_Method__c,loan__Repayment_Billing_Method__c,loan__Draw_Period_Interest_Calculation__c,loan__Repayment_Period_Interest_Calculation__c,loan__Draw_Term_Payment_Percent__c,loan__draw_term__c,loan__Credit_Limit__c,LOAN__FUNDING_IN_TRANCHES__C,loan__Draw_Period_End_Date__c,loan__Disbursed_Amount__c,LOAN__DISBURSAL_STATUS__C,loan__Last_Disbursal_Amount__c,loan__Last_Disbursal_Date__c,LOAN__Loan_Account_External_Id__c
l13_test_charges,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,0,600,0,2013-02-04,Monthly,,0,,,0,44.44,Declining Balance,0,0,0,0,10,0,0,2013-06-04,1,10000,,lp1,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,10644.44444,0,0,,0,10000,Equal Monthly Installments,FALSE,,,,FALSE,0,,,0,,FALSE,,c1,,0,0,Month And Days,2050.27,,,0,3000-12-31,10,2013-01-04,600,0,2013-01-04,2013-01-04,4,2013-02-04,FALSE,2013-02-04,0,2050.27,0,0,0,2013-06-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-04T12:57:18.000Z,Disbursal Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,251.37,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,,2013-01-04,,2013-01-04,UNDEFINED,0,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,5.992927152,,,2013-02-01,Loan,0,0,,0,0,0,,,FALSE,,10000,,,,,,,,,,,,,,l13_test_charges
l13_test_charges_r1,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,200,400,0,2013-02-04,Monthly,,0,,,0,0,Declining Balance,0,0,0,44.44444444,10,0,0,2013-06-04,1,10000,,lp1,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,9644.444444,0,0,,755.5555556,9244.444444,Equal Monthly Installments,FALSE,,,,FALSE,0,0,,0,,FALSE,,c1,,0,0,Month And Days,2050.27,,,0,3000-12-31,10,2013-01-04,400,0,2013-01-04,2013-01-20,4,2013-02-04,FALSE,2013-02-04,0,2050.27,800,0,0,2013-06-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-20T09:09:34.000Z,Payment Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,251.37,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,2013-01-20,2013-01-04,,2013-01-04,UNDEFINED,1000,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,5.99,,,2013-02-01,Loan,0,0,,0,0,0,,,FALSE,,10000,,,,,,,,,,,,,,l13_test_charges_r1
l13_test_charges_r2,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,100,500,0,2013-02-04,Monthly,,0,,,0,12.68,Declining Balance,0,0,0,30.55555556,10,0,0,2013-06-04,1,10000,,lp1,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,9643.24,0,0,,869.4444444,9130.555556,Equal Monthly Installments,FALSE,,,,FALSE,0,0,,0,,FALSE,,c1,,0,0,Month And Days,2050.27,,,0,3000-12-31,10,2013-01-04,500,0,2013-01-04,2013-01-15,4,2013-02-04,FALSE,2013-02-04,0,2050.27,900,0,0,2013-06-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-15T09:02:17.000Z,Payment Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,251.37,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,2013-01-15,2013-01-04,,2013-01-04,UNDEFINED,1000,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,5.99,,,2013-02-01,Loan,0,0,,0,0,0,,,FALSE,,10000,,,,,,,,,,,,,,l13_test_charges_r2
l13_test_charges_r3,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,455.5555556,144.4444444,0,2013-02-04,Monthly,,0,,,0,0,Declining Balance,0,0,0,44.44444444,10,0,0,2013-06-04,1,10000,,lp1,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,144.4444444,0,0,,10000,0,Equal Monthly Installments,FALSE,,,,FALSE,0,0,,0,,FALSE,,c1,,0,0,Month And Days,2050.27,,,0,3000-12-31,10,2013-01-04,144.4444444,0,2013-01-04,2013-01-20,4,2013-02-04,FALSE,2013-02-04,0,2050.27,10044.44444,0,0,2013-06-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-20T09:13:48.000Z,Payment Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,251.37,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,2013-01-20,2013-01-04,,2013-01-04,UNDEFINED,10500,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,5.99,,,2013-02-01,Loan,0,0,,0,0,0,,,FALSE,,10000,,,,,,,,,,,,,,l13_test_charges_r3
l14_test_feeorder,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,0,700,0,2013-02-04,Weekly,,0,,,0,43.84,Declining Balance,0,0,0,0,10,0,0,2013-03-04,1,10000,,lp2,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,10743.83562,0,0,,0,10000,Equal Monthly Installments,FALSE,,,,FALSE,0,,,0,,FALSE,,c1,,0,0,Month And Days,2024.42,,,0,3000-12-31,10,2013-01-04,700,0,2013-01-04,2013-01-04,4,2013-02-04,FALSE,2013-02-04,0,2024.42,0,0,0,2013-03-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-04T10:11:09.000Z,Disbursal Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,122.11,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,,2013-01-04,,2013-01-04,UNDEFINED,0,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,7.450779661,,,2013-02-01,Loan,0,0,0,0,0,0,0,0,FALSE,,10000,,,,,,,,,,,,,,l14_test_feeorder
l14_test_feeorder_r1,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,100,600,0,2013-02-04,Weekly,,0,,,0,24.66,Declining Balance,0,0,0,0,10,19.17808219,0,2013-03-04,1,10000,,lp2,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,10643.83562,0,0,,0,10000,Equal Monthly Installments,FALSE,,,,FALSE,0,0,,0,,FALSE,,c1,,0,0,Month And Days,2024.42,,,0,3000-12-31,10,2013-01-04,600,0,2013-01-04,2013-01-11,4,2013-02-04,FALSE,2013-02-04,0,2024.42,0,0,0,2013-03-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-11T12:02:52.000Z,Payment Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,122.11,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,2013-01-11,2013-01-04,,2013-01-04,UNDEFINED,100,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,7.450779661,,,2013-02-01,Loan,0,0,0,0,0,0,0,0,FALSE,,10000,,,,,,,,,,,,,,l14_test_feeorder_r1
l14_test_feeorder_r2,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,200,500,0,2013-02-04,Weekly,,0,,,0,5.48,Declining Balance,0,0,0,0,10,38.35616438,0,2013-03-04,1,10000,,lp2,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,10543.83562,0,0,,0,10000,Equal Monthly Installments,FALSE,,,,FALSE,0,0,,0,,FALSE,,c1,,0,0,Month And Days,2024.42,,,0,3000-12-31,10,2013-01-04,500,0,2013-01-04,2013-01-18,4,2013-02-04,FALSE,2013-02-04,0,2024.42,0,0,0,2013-03-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-18T12:06:45.000Z,Payment Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,122.11,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,2013-01-18,2013-01-04,,2013-01-04,UNDEFINED,200,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,7.450779661,,,2013-02-01,Loan,0,0,0,0,0,0,0,0,FALSE,,10000,,,,,,,,,,,,,,l14_test_feeorder_r2
l14_test_feeorder_r3,,2013-01-04,2013-01-04,Br1,,,,,,,2013-01-04,2013-01-04,2013-02-04,0,fs1,506.1643836,193.8356164,0,2013-02-04,Weekly,,0,,,0,0,Declining Balance,0,0,0,43.83561644,10,0,0,2013-03-04,1,10000,,lp2,p1,Active - Good Standing,2013-02-04,0,0,5,0,,0,0,0,193.8356164,0,0,,10000,0,Equal Monthly Installments,FALSE,,,,FALSE,0,0,,0,,FALSE,,c1,,0,0,Month And Days,2024.42,,,0,3000-12-31,10,2013-01-04,193.8356164,0,2013-01-04,2013-01-20,4,2013-02-04,FALSE,2013-02-04,0,2024.42,10043.83562,0,0,2013-03-04,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-20T12:09:58.000Z,Payment Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,122.11,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,10000,2013-01-20,2013-01-04,,2013-01-04,UNDEFINED,10550,0,,UNDEFINED,,,0,,,,0,TRUE,4,10,,Pending,7.450779661,,,2013-02-01,Loan,0,0,0,0,0,0,0,0,FALSE,,10000,,,,,,,,,,,,,,l14_test_feeorder_r3
Lp1_periodicFee,,2013-01-08,,Br1,,,,,,,2013-01-08,2013-01-08,2013-02-08,0,fs1,0,0,0,2013-02-08,Weekly,,0,,,0,5.75,Declining Balance,0,0,0,0,10,0,0,2013-03-08,1,3000,,lp1,p1,Active - Good Standing,2013-02-08,0,0,5,0,,0,0,0,3005.75,0,0,,0,3000,Equal Monthly Installments,FALSE,,,,FALSE,0,,,0,,FALSE,,c1,,0,0,Month And Days,607.33,,,0,3000-12-31,10,2013-01-08,0,0,2013-01-08,2013-01-08,8,2013-02-08,FALSE,2013-02-08,0,607.33,0,0,2,2013-03-08,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-09T07:59:42.000Z,Disbursal Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,36.64,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,3000,,2013-01-08,,2013-01-08,UNDEFINED,0,0,,UNDEFINED,,,0,,,,0,TRUE,8,10,,Pending,0,,,2013-02-01,Loan,0,0,0,0,0,0,,,TRUE,,3000,,,,,,,,,,,,,,Lp1_periodicFee
Lp2_periodicFee,,2013-01-08,,Br1,,,,,,,2013-01-08,2013-01-08,2013-02-08,0,fs1,0,0,0,2013-02-08,Monthly,,0,,,0,5.83,Declining Balance,0,0,0,0,10,0,0,2013-06-08,1,3000,,lp1,p1,Active - Good Standing,2013-02-08,0,0,5,0,,0,0,0,3005.83,0,0,,0,3000,Equal Monthly Installments,FALSE,,,,FALSE,0,,,0,,FALSE,,c1,,0,0,Month And Days,615.08,,,0,3000-12-31,10,2013-01-08,0,0,2013-01-08,2013-01-08,8,2013-02-08,FALSE,2013-02-08,0,615.08,0,0,2,2013-06-08,0,0,0,FALSE,,,,,,,,,,5,FALSE,,FALSE,FALSE,FALSE,2013-01-08T11:23:28.000Z,Disbursal Transaction,,,,0,,,,,,,,,,,,,FALSE,FALSE,Interest Bearing,Monthly,Interest,TRUE,2013-02-28,75.4,0,0,,0,None,,Installment,11,FALSE,0,0,0,,FALSE,3000,,2013-01-08,,2013-01-08,UNDEFINED,0,0,,UNDEFINED,,,0,,,,0,TRUE,8,10,,Pending,0,,,2013-02-01,Loan,0,0,0,0,0,0,,,TRUE,,3000,,,,,,,,,,,,,,Lp2_periodicFee
